CÓDIGO,CST 00,CST 10,CST 20,CST 30,CST 40,CST 41,CST 50,CST 51,CST 60,CST 70,CST 90,DATA INÍCIO,DATA FIM,DESCRIÇÃO,OBSERVAÇÃO
RS052047,,,,,,,,SIM,,,,1102016, ,"AP II,S,I,XLVIII-SAL PARA PECU-RIA",
RS052048,,,,,,,,SIM,,,,1102016, ,"AP II,S,I,XLVIX-GAS NATURAL",
RS052049,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,L-MAQ E EQUIP P/COMPLEXO IND LEI FITEC/RS",
RS052050,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LI-PROTEINAS E GORDURAS VEGETAIS DE SOJA",
RS052051,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LII-RES-DUOS DE MADEIRA E DE CASCA D",
RS052052,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LIII-CARV-O MINERAL P/ IND-STRIA DE",
RS052053,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LIV-MERCADORIAS P/ IND-STRIA DO PROG",
RS052054,,,,,,,,SIM,,,,1102016,,"AP II, S. I, LV-MAT-RIAS-PRIMAS E MATERIAIS DE EM",
RS052055,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LVI - BENZENO",
RS052056,,,,,,,,SIM,,,,1102016, ,"AP II, S.I,LVII-MAQUINAS E EQUIPAMENTOS P/A FABRIC",
RS052057,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LVIII-ATIVO PERMANENTE P/IND DE NAVIOS",
RS052058,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LIX-INSUMOS P/IND DE NAVIOS",
RS052059,,,,,,,,SIM,,,,1102016, ,"AP II,S, I,LX - AVES VIVAS",
RS052060,,,,,,,,SIM,,,,1102016,9022017,"AP II,S, I,LX - ATIVO PERMANENTE P SET MOV",
RS052060,,,,,,,,SIM,,,,10022017, ,"AP II,S, I,LXI - ATIVO PERMANENTE P SET MOV",
RS052061,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXII - OLEO LUBRIFICANTE BASICO",
RS052062,,,,,,,,SIM,,,,1102016,,"AP II, S. I, LXIII-MAQU. EQUIP. P/ IND. BIODIESEL",
RS052063,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXIV-MAQU.EQUIP.FILME POLIPR.BIORIEN",
RS052064,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXV-MAQU.EQUIP.P/IND.DERIVADOS LEITE",
RS052065,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXVI-PE-,MAT-PRI E MAT EMB P/PROD CELULO",
RS052066,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXVII-ATIVO PERM IND CELULOSE E OUTRAS P",
RS052067,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXVIII-ATIVO PERM DE ABAT DE GADO VACUM",
RS052068,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXIX-ATIVO PERM DE IND DE RESINAS",
RS052069,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXX-ATIVO PERM DE IND DE ALCOOL",
RS052070,,,,,,,,SIM,,,,1102016,31122017,"AP II,S.I,LXXI-OLEO VEGETAL P/ IND DE BIODIESEL",
RS052070,,,,,,,,SIM,,,,1012018,,"AP II,S.I,LXXI-OLEO VEG/ANIMAL P/IND.BIODIESEL",
RS052071,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXXII-PEC,MAT-PRI E MAT EMB E ATIVO PERM",
RS052072,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXXIII.RESINAS E AT.PERM.P/IND.MDP",
RS052073,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXIV-GRAOS CANOLA/MAMONA P/IND.BIOD",
RS052074,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXV. PETROLEO",
RS052075,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXVI. CASCA DE ARROZ P/ IND.",
RS052077,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXXVIII.",
RS052078,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXIX",
RS052079,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXX",
RS052080,,,,,,,,SIM,,,,1102016,,"AP II, S. I, LXXXI",
RS052081,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXXII",
RS052082,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXXIII",
RS052083,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXXIV",
RS052084,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, LXXXV",
RS052085,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXXXVI.TRIGO EM GRAO P/ IND. DE RACAO",
RS052086,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXXXVII,CONSTR.CONSER.MODER.EMBARCA--ES",
RS052087,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXXXVIII,ATI.PERM.CONSTR.MODER.EMBARCA--",
RS052088,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,LXXXIX.QUEROS.AV/OLEO COMB.P/DISTR.COMB.",
RS052089,,,,,,,,SIM,,,,1102016, ,"AP II, S. I, XC. PROD.ACAB.INFOR.E AUTOM.",
RS052090,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,XCI.COSM.PERF.HIG.PES.E TOUCADOR",
RS052091,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,XCII.RESIDUOS DE MADEIRA",
RS052092,,,,,,,,SIM,,,,1102016,31122017,"AP II,S.I,XCIII.MAT.PRIM.P/ESTR.MAR.P/PETR.E G.N.",
RS052093,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,XCIV. VEICULOS PROCAM/RS",
RS052094,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,XCV. MERC.DEST.DISTR.AGUA-POLO PETROQ.",
RS052095,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,XCVI.CAL VIVA E DOLOMITA P/TERMELETRICA",
RS052096,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,XCVII.MERC.PARA TRAT.4 RODAS,RET.EMP.",
RS052097,,,,,,,,SIM,,,,1102016, ,"AP II,S.I,XCVIII.FAB.VEIC.TRANSP.CARGAS.PROCAM/RS",
RS052098,,,,,,,,SIM,,,,1012020, ,"AP.II,S.I,XXVI.LEITE FRESCO, PASTEURIZADO OU NÃO",
RS052100,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,S.IV,SUBS.I,ITENS:I,II,IVAVI,VIIIAXV,XVIIAXX",
RS052101,,SIM,SIM,,,,,SIM,,SIM,,1102016,,"AP II,S.IV,SUBSI,ITENS:III,VII,XVI,XXVII,XLIVAXLI",
RS052102,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II, S. IV, SUBS. I, ITENS: L ALXV, LXVIII, LXI",
RS052103,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,S.IV,SUBS.I,ITENS:XXIII,LXX,LXXX,LXXXVII",
RS052104,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II, S. IV, SUBS. II, ITENS I A IV-VESTUARIO E",
RS052105,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II, S. IV, SUBS. II, ITENS V A VII-DE VIAG",
RS052106,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II, S. IV, SUBS. II, ITEM VIII-MOVEIS E MOBILI",
RS052107,,SIM,SIM,,,,,SIM,,SIM,,1102016,,"AP IIS,IV,SUBSI,ITEM XCVI-CAL VIVA, CAL APAGADA E C",
RS052108,,SIM,SIM,,,,,SIM,,SIM,,1102016,,"AP II,S.IV,SUBS.III,ITENSI,IIEVIAXIEXXIIMERC.SET P",
RS052109,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,S.IV,SUBS.III,ITENS:XII A XXI-MERC.SETOR PLA",
RS052110,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,S.IV,SUBS.III,IT.:V E XXXII A XXXVI",
RS052111,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,SIV,SUBSIII,ITENS XXIII A XXXI-MERC P ALIMEN",
RS052112,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,S.IV,SUBS.V,ITENS:I A XIV. MERC.COUR-CALC.",
RS052113,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1A, V",
RS052114,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,S.IV.SUBS.VI.I.BENS/MERC.DEST.ENV.BEB.AL.PAS",
RS052115,,SIM,SIM,,,,,SIM,,SIM,,1102016,,"AP II,S.IV,SUBS.VII,ITENS I A XI. AVIC./SUINOCULT.",
RS052116,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1A,VII.MOLAS,FL.MOLAS, A/F.FAB.MAQ.",
RS052117,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1A,X.PROD.FARM.RELAC.NO RICMS",
RS052118,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"AP II,S.IV,SUBS.VIII.ITENS I A IV. ACOS/FERROS",
RS052119,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1-A,XI.PROD.PLAST.P/BRINQUEDOS",
RS052120,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1-A,XII.COPOS PLAST.COM.P/DEST.",
RS052121,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,  1-A, XIII",
RS052122,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XIV.MERC.P/FAB.TR.ATR.R.ELETR.",
RS052123,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1-D E AP II,S.IV,MERC.P/IND.N.MEC.",
RS052124,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1A,XV.INS.IND.INF.AUT.E ELETR.",
RS052125,,,,,,,,SIM,,,,1102016, ,"LIVRO III,1, AP II,S.I,LXXVI.CASCA ARROZ P/ IND.",
RS052126,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1A,XVI,AP II,S.IV,SUBS.X.MERC.SETOR PL.",
RS052127,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1A, I E AP II,S.IV,SUB.I,CX.FOLHAS ACO",
RS052128,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1O A,XVII. MUCOSA INTES.SUINA",
RS052129,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1O A,XVIII.INS.P/FAB.TRANSP.GRAN.;C/D B",
RS052130,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XIX.LAM.PL.FB.VEIC. FOMENTAR.",
RS052131,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1-A, XX. LIGAS DE ALUMINIO",
RS052132,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XXI.",
RS052133,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XXII.",
RS052134,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1--E.MERC.P/IND.POR ESTAB.ATIV.ECON.",
RS052135,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XXIII.NAFTA DEST.A INDUSTR.",
RS052136,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XXIV. MET.SOD.IND.NOVOS PROD.",
RS052137,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-F,AP II,S.V,ITEM I.COBRE E AN.",
RS052138,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XXV.MATERIAIS PARA PNEUMATICOS",
RS052139,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1-G. MAT.P/FAB.VEIC.TRANSP.10 P.",
RS052140,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-H.ACOS PLANOS,P/FAB.TUBOS DE ACO",
RS052141,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1-A, XXVI",
RS052142,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A, XXVII. EMB. METALICAS",
RS052143,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III, 1-A,XXVIII.MAT.P/FAB.ARMAS E MUN.",
RS052144,,SIM,SIM,,,,,SIM,,SIM,,1102016, ,"LIVRO III,1-A,XXIX. BOB.CHP.ACO-PROCAM/RS",
RS052145,,SIM,SIM,,,,,SIM,,SIM,,1032020, ,"LIVRO III,ART.1° - I - Mercadorias destinadas a fabricantes de sistemas construtivos e de estruturas metálicas.",
RS052300,,,,,,,SIM,,,,,1102016, ,"LIVRO I,55,I -CONSERTO, REPARO OU INDUSTRIALIZACAO",
RS052301,,,,,,,SIM,,,,,1102016, ,"LIVRO I,55,II -DEVOLUCAO",
RS052302,,,,,,,SIM,,,,,1102016, ,"LIVRO I,55,III -EQUINO",
RS052303,,,,,,,SIM,,,,,1102016, ,"LIVRO I,55,V-ALCOOL ETILICO ANIDRO COMBUSTIVEL",
RS052304,,,,,,,SIM,,,,,1102016, ,"LIVRO I,55,VI - OUTRAS OP.PREV EM PROTOC CELEB",
RS052305,,,,,,,SIM,,,,,1102016, ,"LIVRO I,55,VII.",
RS052400,,,,,,,,,SIM,,,1102016, ,"LIVRO III,54 -PREST SERVICO TRANSPORTE DE CARGAS",
RS052401,,,,,,,,,SIM,,,1102016, ,"LIVRO III,57 -REVENDEDOR AMBULANTE DE OUTRA UF",
RS052402,,,,,,,,,SIM,,,1102016, ,"LIVRO III,73 -MERCAD P/VENDA EM BANCAS JORNAIS/REV",
RS052403,,,,,,,,,SIM,,,1102016, ,"AP II,S.II,I -CARNE",
RS052405,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XVI -SORVETES",
RS052407,,,,,,,,,SIM,,,1102016, ,"AP II,S.II,V -PAPEL PARA CIGARRO",
RS052408,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,I -BEBIDAS",
RS052409,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,II -CIGARROS",
RS052410,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,III -CIMENTO",
RS052411,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,IV -COMBUSTIVEIS",
RS052412,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,V -PNEUMAT,CAMARAS AR,PROTET BORRACHA",
RS052413,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,VI -PRODUTOS FARMACEUTICOS",
RS052415,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,VIII -TINTAS,VERNIZES,OUTRAS(IND QUIM)",
RS052416,,,,,,,,,SIM,,,1102016,,"AP II,S.III,IX -MOTOCICLETAS",
RS052417,,,,,,,,,SIM,,,1102016,  ,"AP II,S.III,X -AUTOMOVEIS",
RS052418,,,,,,,,,SIM,,,1102016,1102016,"AP II,S.III,XI -DISCOS FONOG.E FITAS VIRGENS OU GRA",
RS052419,,,,,,,,,SIM,,,1102016,1102016,"AP II,S.III,XII -FILMES FOTOG.E CINEMATOG.E SLIDES",
RS052420,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XIII-LAMINAS BARBEAR,AP.BARBEAR DESC E",
RS052421,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XIV-LAMPADAS ELETR., REATORES E STE",
RS052422,,,,,,,,,SIM,,,1102016,1102016,"AP.II,S.III,XV-PILHAS E BATERIAS ELETRICAS",
RS052423,,,,,,,,,SIM,,,1102016, ,"AP II, S.III,XVII - ENERGIA ELETRICA",
RS052425,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XVIII-APAR.CELULARES E COES INT.",
RS052426,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XIX-RACOES TIPO PET P/ANIMAIS DOM.",
RS052427,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XX-PECAS,COMP.E ACES.P/PROD.AUTOP.",
RS052428,,,,,,,,,SIM,,,1102016,1102016,"AP.II,S.III,XXI - COLCHOARIA",
RS052429,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XXII - COSM.,PERF.,HIG.PESSOAL E TOUC.",
RS052430,,,,,,,,,SIM,,,1102016,1102016,"AP.II, S.II,VII - ARROZ BENEFICIADO",
RS052432,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XXIV. FERRAMENTAS",
RS052433,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XXV. MATERIAIS ELETRICOS",
RS052434,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XXVI. MAT.CONSTR.,ACAB.,BRIC. E ADORNO",
RS052435,,,,,,,,,SIM,,,1102016, ,"AP II,S.III, XXVII. BICICLETAS",
RS052436,,,,,,,,,SIM,,,1102016,1102016,"AP.II,S.III,XXVIII. BRINQUEDOS",
RS052437,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XXIX.MATERIAIS DE LIMPEZA",
RS052438,,,,,,,,,SIM,,,1102016, ,"AP II,S.III.XXX.PRODUTOS ALIMENTICIOS",
RS052439,,,,,,,,,SIM,,,1102016, ,"AP II,S.III.XXXI.ARTEF.DE USO DOMESTICO",
RS052440,,,,,,,,,SIM,,,1102016, ,"AP II,S.III,XXXII.BEBIDAS QUENTES",
RS052441,,,,,,,,,SIM,,,1102016, ,"AP II, S. III, XXXIII - ARTIGOS DE PAPELARIA",
RS052442,,,,,,,,,SIM,,,1102016,1102016,"AP. II, S. III, XXXIV - INSTRUMENTOS MUSICAIS",
RS052443,,,,,,,,,SIM,,,1102016, ,"AP II, S. III, XXXV - PROD.ELETRONICOS/ELETROELET",
RS052444,,,,,,,,,SIM,,,1102016,,"AP II,S.III,XXXVI.MQ.AP.MEC.ELTR.ELETROMEC.AUT.",
RS052445,,,,,,,,,SIM,,,1102016,1102016,"AP. II, S. III, XXXVII.ARTIGOS PARA BEBE",
RS052446,,,,,,,,,SIM,,,1102016,1102016,"AP. II, S. III, XXXVIII.ARTIGOS DE VESTUARIO",
RS052447,,,,,,,,,SIM,,,1102016, ,"AP II,S.II,VIII. CARNES/PROD.COMEST. AVES E SUINOS",
RS052999,,SIM,,,,,SIM,SIM,SIM,,SIM,1102016, ,Anexo V.B - OUTRAS,
